source,group_token,query_count,metric,namespace_minus_global
memops,3372efcc751e,40,evidence_recall,0.09333333333333316
memops,3372efcc751e,40,feasible_rate,0.04999999999999999
memops,3372efcc751e,40,penalized_admissibility_upper_risk,-0.0625
memops,3372efcc751e,40,penalized_residual_upper_risk,-0.03749999999999998
memops,618c602e3e08,50,evidence_recall,0.18466666666666665
memops,618c602e3e08,50,feasible_rate,0.16
memops,618c602e3e08,50,penalized_admissibility_upper_risk,-0.13098039215686264
memops,618c602e3e08,50,penalized_residual_upper_risk,-0.13098039215686264
memops,1a1ce6334550,42,evidence_recall,0.2488284202569918
memops,1a1ce6334550,42,feasible_rate,0.19047619047619047
memops,1a1ce6334550,42,penalized_admissibility_upper_risk,-0.12434734577591733
memops,1a1ce6334550,42,penalized_residual_upper_risk,-0.11376533519390686
memops,4d9b5fbf63aa,50,evidence_recall,0.21199999999999988
memops,4d9b5fbf63aa,50,feasible_rate,0.04
memops,4d9b5fbf63aa,50,penalized_admissibility_upper_risk,-0.029999999999999916
memops,4d9b5fbf63aa,50,penalized_residual_upper_risk,-0.029999999999999916
memops,e91160488d25,50,evidence_recall,0.1374285714285714
memops,e91160488d25,50,feasible_rate,0.03999999999999998
memops,e91160488d25,50,penalized_admissibility_upper_risk,-0.042900432900432994
memops,e91160488d25,50,penalized_residual_upper_risk,-0.028354978354978577
memops,4c92a7d9aadb,42,evidence_recall,0.1071428571428572
memops,4c92a7d9aadb,42,feasible_rate,0.047619047619047616
memops,4c92a7d9aadb,42,penalized_admissibility_upper_risk,-0.042857142857142816
memops,4c92a7d9aadb,42,penalized_residual_upper_risk,-0.042857142857142816
memops,b8756103d661,28,evidence_recall,0.2559523809523807
memops,b8756103d661,28,feasible_rate,0.21428571428571427
memops,b8756103d661,28,penalized_admissibility_upper_risk,-0.15839002267573687
memops,b8756103d661,28,penalized_residual_upper_risk,-0.15124716553287976
memops,1ad737e90407,40,evidence_recall,0.08769841269841266
memops,1ad737e90407,40,feasible_rate,0.15000000000000002
memops,1ad737e90407,40,penalized_admissibility_upper_risk,-0.10429487179487185
memops,1ad737e90407,40,penalized_residual_upper_risk,-0.10429487179487185
memops,d0ebd3957250,40,evidence_recall,0.11595238095238058
memops,d0ebd3957250,40,feasible_rate,0.09999999999999999
memops,d0ebd3957250,40,penalized_admissibility_upper_risk,-0.07750000000000001
memops,d0ebd3957250,40,penalized_residual_upper_risk,-0.07750000000000001
memops,dd2740858bbd,20,evidence_recall,0.275
memops,dd2740858bbd,20,feasible_rate,0.1
memops,dd2740858bbd,20,penalized_admissibility_upper_risk,-0.08421052631578951
memops,dd2740858bbd,20,penalized_residual_upper_risk,-0.08421052631578951
memops,d48fe879908b,10,evidence_recall,0.33999999999999997
memops,d48fe879908b,10,feasible_rate,0.39999999999999997
memops,d48fe879908b,10,penalized_admissibility_upper_risk,-0.28627450980392166
memops,d48fe879908b,10,penalized_residual_upper_risk,-0.28627450980392166
memops,c3b0f855166c,50,evidence_recall,0.033333333333333354
memops,c3b0f855166c,50,feasible_rate,0.0
memops,c3b0f855166c,50,penalized_admissibility_upper_risk,0.0
memops,c3b0f855166c,50,penalized_residual_upper_risk,0.0
memops,03c7fab6423b,50,evidence_recall,0.0779999999999999
memops,03c7fab6423b,50,feasible_rate,0.0
memops,03c7fab6423b,50,penalized_admissibility_upper_risk,0.0
memops,03c7fab6423b,50,penalized_residual_upper_risk,0.0
memops,c0a4d53cffee,28,evidence_recall,0.04642857142857143
memops,c0a4d53cffee,28,feasible_rate,0.0
memops,c0a4d53cffee,28,penalized_admissibility_upper_risk,-0.0021008403361345573
memops,c0a4d53cffee,28,penalized_residual_upper_risk,-0.0021008403361345573
memops,4d5f79657294,50,evidence_recall,0.08333333333333326
memops,4d5f79657294,50,feasible_rate,0.04000000000000001
memops,4d5f79657294,50,penalized_admissibility_upper_risk,-0.03314874667815826
memops,4d5f79657294,50,penalized_residual_upper_risk,-0.02806938159879313
memops,a23381b0f9ff,38,evidence_recall,0.0
memops,a23381b0f9ff,38,feasible_rate,0.0
memops,a23381b0f9ff,38,penalized_admissibility_upper_risk,0.0
memops,a23381b0f9ff,38,penalized_residual_upper_risk,0.0
memops,60cee9166f68,50,evidence_recall,0.1057142857142856
memops,60cee9166f68,50,feasible_rate,0.07999999999999999
memops,60cee9166f68,50,penalized_admissibility_upper_risk,-0.05986013986013994
memops,60cee9166f68,50,penalized_residual_upper_risk,-0.05986013986013994
memops,91d448fcab76,40,evidence_recall,0.06666666666666665
memops,91d448fcab76,40,feasible_rate,0.0
memops,91d448fcab76,40,penalized_admissibility_upper_risk,0.0
memops,91d448fcab76,40,penalized_residual_upper_risk,0.0
memops,d86beed3ed95,50,evidence_recall,0.1366666666666667
memops,d86beed3ed95,50,feasible_rate,0.07999999999999999
memops,d86beed3ed95,50,penalized_admissibility_upper_risk,-0.06666666666666676
memops,d86beed3ed95,50,penalized_residual_upper_risk,-0.06666666666666676
memops,7fdf3cfa8560,50,evidence_recall,0.029047619047619044
memops,7fdf3cfa8560,50,feasible_rate,0.0
memops,7fdf3cfa8560,50,penalized_admissibility_upper_risk,-0.007991452991452874
memops,7fdf3cfa8560,50,penalized_residual_upper_risk,-0.002658119658119573
memops,cafe480d0f4b,28,evidence_recall,0.16904761904761906
memops,cafe480d0f4b,28,feasible_rate,0.07142857142857142
memops,cafe480d0f4b,28,penalized_admissibility_upper_risk,-0.08831168831168834
memops,cafe480d0f4b,28,penalized_residual_upper_risk,-0.0740259740259741
memops,5d9c0171acaf,50,evidence_recall,0.07400000000000007
memops,5d9c0171acaf,50,feasible_rate,0.07999999999999999
memops,5d9c0171acaf,50,penalized_admissibility_upper_risk,-0.06760784313725499
memops,5d9c0171acaf,50,penalized_residual_upper_risk,-0.06760784313725499
memops,95c976e0c830,18,evidence_recall,0.13333333333333325
memops,95c976e0c830,18,feasible_rate,0.1111111111111111
memops,95c976e0c830,18,penalized_admissibility_upper_risk,-0.09356725146198819
memops,95c976e0c830,18,penalized_residual_upper_risk,-0.09356725146198819
memops,7a8a0dd730ad,42,evidence_recall,0.011904761904761918
memops,7a8a0dd730ad,42,feasible_rate,0.0
memops,7a8a0dd730ad,42,penalized_admissibility_upper_risk,0.0
memops,7a8a0dd730ad,42,penalized_residual_upper_risk,0.0
memops,0d00e97e9de4,50,evidence_recall,0.0
memops,0d00e97e9de4,50,feasible_rate,0.0
memops,0d00e97e9de4,50,penalized_admissibility_upper_risk,0.0
memops,0d00e97e9de4,50,penalized_residual_upper_risk,0.0
memops,7743a5841c93,50,evidence_recall,0.13666666666666666
memops,7743a5841c93,50,feasible_rate,0.08000000000000002
memops,7743a5841c93,50,penalized_admissibility_upper_risk,-0.05184240235169024
memops,7743a5841c93,50,penalized_residual_upper_risk,-0.041842402351690344
memops,034da0fc594e,30,evidence_recall,0.0
memops,034da0fc594e,30,feasible_rate,0.0
memops,034da0fc594e,30,penalized_admissibility_upper_risk,0.0
memops,034da0fc594e,30,penalized_residual_upper_risk,0.0
memops,700f33efa2ae,42,evidence_recall,0.1603174603174603
memops,700f33efa2ae,42,feasible_rate,0.09523809523809523
memops,700f33efa2ae,42,penalized_admissibility_upper_risk,-0.06235827664399096
memops,700f33efa2ae,42,penalized_residual_upper_risk,-0.06235827664399096
memops,34c993ea00e7,18,evidence_recall,0.3907407407407407
memops,34c993ea00e7,18,feasible_rate,0.2222222222222222
memops,34c993ea00e7,18,penalized_admissibility_upper_risk,-0.13492063492063477
memops,34c993ea00e7,18,penalized_residual_upper_risk,-0.13492063492063477
memops,c3149c3f9670,38,evidence_recall,0.1464912280701754
memops,c3149c3f9670,38,feasible_rate,0.10526315789473684
memops,c3149c3f9670,38,penalized_admissibility_upper_risk,-0.11276886100700667
memops,c3149c3f9670,38,penalized_residual_upper_risk,-0.0725211829884308
memops,1aa649ae8354,50,evidence_recall,0.06
memops,1aa649ae8354,50,feasible_rate,0.0
memops,1aa649ae8354,50,penalized_admissibility_upper_risk,-0.005333333333333301
memops,1aa649ae8354,50,penalized_residual_upper_risk,-0.005333333333333301
memops,f7244e87978d,38,evidence_recall,0.01754385964912286
memops,f7244e87978d,38,feasible_rate,0.0
memops,f7244e87978d,38,penalized_admissibility_upper_risk,0.0
memops,f7244e87978d,38,penalized_residual_upper_risk,0.0
memops,ba95725a0745,38,evidence_recall,0.0666666666666666
memops,ba95725a0745,38,feasible_rate,0.10526315789473684
memops,ba95725a0745,38,penalized_admissibility_upper_risk,-0.06275303643724706
memops,ba95725a0745,38,penalized_residual_upper_risk,-0.06275303643724706
memops,62103c761631,40,evidence_recall,0.04749999999999993
memops,62103c761631,40,feasible_rate,0.0
memops,62103c761631,40,penalized_admissibility_upper_risk,-0.036904761904761996
memops,62103c761631,40,penalized_residual_upper_risk,0.008333333333333193
memops,7c56943b9c27,42,evidence_recall,0.125
memops,7c56943b9c27,42,feasible_rate,0.047619047619047616
memops,7c56943b9c27,42,penalized_admissibility_upper_risk,-0.08188021947420443
