claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,overall,exact_agreement,0.865,0.815,0.91,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,overall,cohen_kappa,0.7284794851166533,0.626865671641791,0.8200000000000001,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,overall,gwet_ac1,0.7315102548166563,0.633309382820049,0.8244929797191889,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,original_two_reader,exact_agreement,0.8805970149253731,0.8208955223880597,0.9328358208955224,134,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,sequential_gpt_reader,exact_agreement,0.8333333333333334,0.7424242424242424,0.9242424242424242,66,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,reader_deepseek,exact_agreement,0.9104477611940298,0.835820895522388,0.9701492537313433,67,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,reader_gemini,exact_agreement,0.8507462686567164,0.7611940298507462,0.9253731343283582,67,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,answer_quality,exact_agreement,0.24,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,answer_quality,within_one_agreement,0.755,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,answer_quality,mean_absolute_error,1.245,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,answer_quality,mean_strong_minus_cheap,0.215,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,answer_quality,quadratic_weighted_kappa,0.8837257200205212,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,protected_disclosure,exact_agreement,0.975,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,stale_disclosure,exact_agreement,0.97,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,directional_disagreement,cheap_correct_strong_incorrect,14,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
C14,natural_cross_judge_audit,"200 exact-deduplicated natural closure outputs, selected without outcomes across reader, source, and common-route strata",gpt-5.1-2025-11-13,directional_disagreement,cheap_incorrect_strong_correct,13,,,200,post_hoc_outcome_independent;not_independently_preregistered;full_population_not_rescored;one_alternate_judge;reader_effects_not_reestimated;nonofficial_sample
