group_type,group_value,n,exact_agreement,exact_agreement_ci_low,exact_agreement_ci_high,cohen_kappa,cohen_kappa_ci_low,cohen_kappa_ci_high,gwet_ac1,gwet_ac1_ci_low,gwet_ac1_ci_high
overall,all,200,0.865,0.815,0.91,0.7284794851166533,0.626865671641791,0.8200000000000001,0.7315102548166563,0.633309382820049,0.8244929797191889
reader_panel,original_two_reader,134,0.8805970149253731,0.8208955223880597,0.9328358208955224,0.7577401129943503,0.6385704652730952,0.8629233916799273,0.76455084559631,0.6511930585683298,0.8683190478790196
reader_panel,sequential_gpt_reader,66,0.8333333333333334,0.7424242424242424,0.9242424242424242,0.6666666666666667,0.481994459833795,0.8441926345609064,0.6667431719072758,0.4859106529209623,0.8485196235942162
reader,DeepSeek,67,0.9104477611940298,0.835820895522388,0.9701492537313433,0.8059845559845559,0.6437892701788303,0.9362511893434825,0.8342268041237113,0.6985068521169974,0.9475948377004304
reader,Gemini,67,0.8507462686567164,0.7611940298507462,0.9253731343283582,0.7019572953736656,0.5239786856127886,0.8509123275478416,0.7020898176967542,0.5275451740855003,0.855385279516512
reader,OpenAI,66,0.8333333333333334,0.7424242424242424,0.9242424242424242,0.6666666666666667,0.481994459833795,0.8441926345609064,0.6667431719072758,0.4859106529209623,0.8485196235942162
source,memops,100,0.85,0.78,0.92,0.6931260229132569,0.54,0.8264642082429502,0.706601466992665,0.562798092209857,0.8405739338381827
source,rhelm,100,0.88,0.81,0.94,0.7362637362637362,0.5835025336665279,0.866369710467706,0.7798165137614679,0.6533163032570022,0.8924345643599855
route,global_dense,67,0.8656716417910447,0.7761194029850746,0.9402985074626866,0.691875319366377,0.4863088718510403,0.8618556701030929,0.7618953603158932,0.6020364870598217,0.8994371482176361
route,namespace_dense,67,0.8507462686567164,0.7611940298507462,0.9253731343283582,0.7011596788581624,0.5175517551755174,0.8507795100222717,0.7020898176967542,0.5250332299512627,0.855385279516512
route,namespace_policy_gate,66,0.8787878787878788,0.7878787878787878,0.9545454545454546,0.7555555555555555,0.57380073800738,0.9080779944289694,0.7595628415300546,0.5819004524886877,0.9101021566401817
stratum,DeepSeek/memops/global_dense,11,0.7272727272727273,0.45454545454545453,1.0,0.4210526315789474,0.0,1.0,0.5182481751824817,-0.015384615384615438,1.0
stratum,DeepSeek/memops/namespace_dense,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stratum,DeepSeek/memops/namespace_policy_gate,11,0.9090909090909091,0.7272727272727273,1.0,0.8196721311475409,0.4210526315789474,1.0,0.8181818181818181,0.4545454545454546,1.0
stratum,DeepSeek/rhelm/global_dense,12,0.9166666666666666,0.75,1.0,0.0,0.0,1.0,0.909433962264151,0.68,1.0
stratum,DeepSeek/rhelm/namespace_dense,11,0.9090909090909091,0.7272727272727273,1.0,0.7441860465116279,0.0,1.0,0.8598726114649683,0.4823529411764706,1.0
stratum,DeepSeek/rhelm/namespace_policy_gate,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stratum,Gemini/memops/global_dense,11,0.8181818181818182,0.5454545454545454,1.0,0.6206896551724139,6.106226635438359e-16,1.0,0.6615384615384616,0.19708029197080276,1.0
stratum,Gemini/memops/namespace_dense,12,0.9166666666666666,0.75,1.0,0.7999999999999999,0.2258064516129032,1.0,0.8579881656804733,0.5294117647058824,1.0
stratum,Gemini/memops/namespace_policy_gate,11,0.8181818181818182,0.5454545454545454,1.0,0.42105263157894746,0.0,1.0,0.7411764705882354,0.2786885245901639,1.0
stratum,Gemini/rhelm/global_dense,11,0.9090909090909091,0.7272727272727273,1.0,0.8135593220338982,0.35294117647058826,1.0,0.8240000000000001,0.4545454545454546,1.0
stratum,Gemini/rhelm/namespace_dense,11,0.7272727272727273,0.45454545454545453,1.0,0.440677966101695,-0.15789473684210548,1.0,0.4720000000000001,-0.08196721311475402,1.0
stratum,Gemini/rhelm/namespace_policy_gate,11,0.9090909090909091,0.7272727272727273,1.0,0.8135593220338982,0.35294117647058826,1.0,0.8240000000000001,0.4545454545454546,1.0
stratum,OpenAI/memops/global_dense,11,0.8181818181818182,0.5454545454545454,1.0,0.6333333333333335,0.06779661016949153,1.0,0.639344262295082,0.11999999999999994,1.0
stratum,OpenAI/memops/namespace_dense,11,0.7272727272727273,0.45454545454545453,1.0,0.440677966101695,-0.1702127659574468,1.0,0.472,-0.08196721311475416,1.0
stratum,OpenAI/memops/namespace_policy_gate,11,0.9090909090909091,0.7272727272727273,1.0,0.7924528301886792,0.21428571428571427,1.0,0.8394160583941607,0.4720000000000001,1.0
stratum,OpenAI/rhelm/global_dense,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stratum,OpenAI/rhelm/namespace_dense,11,0.8181818181818182,0.5454545454545454,1.0,0.6333333333333335,0.06779661016949153,1.0,0.639344262295082,0.11999999999999994,1.0
stratum,OpenAI/rhelm/namespace_policy_gate,11,0.7272727272727273,0.45454545454545453,1.0,0.45901639344262296,-0.13793103448275848,1.0,0.4545454545454546,-0.08196721311475402,1.0
